Registrant Name,Sector,Amount
Vermont Truck & Bus Association,Transportation,177356
Vermont Vehicle & Automotive Distributors Association,Business,492088.06
Vermont Veterinary Medical Association,Veterinarians,44570
Vermont Veterinary Medical Society,Veterinarians,10750
Vermont Wholesale Beverage Association,Alcohol,451539.95
Vermont Wind LLC,Energy,45000
Vermont Worker's Center,Health Care,37260.95
Vermont-NEA,Labor Unions,500344.09
Vermonters for a Clean Environment,Environment,49693.74
Vermonters for Criminal Justice Reform,Civil/Criminal Justice,7068.83
Vermonters for Health Care Freedom,Health Care,65126.44
Vermonters for Honest Government,Government/Public Affairs,34896.64
Vermonters for Schools and Communities,Education,96000
Vertex Pharmaceuticals Incorporated,Pharmaceuticals,19500
Verus Financial LLC,Bank/Finance,42500
Veterans of Foreign Wars - Vermont,Veterans,3400
Village of Hyde Park Electric Department,Energy,4487.65
Village of Jacksonville Electric Company,Energy,2932.82
Village of Johnson Water & Light Department,Energy,5368.47
Village of Ludlow Electric Light Department,Energy,11365.91
Village of Lyndonville Electric Department,Energy,14061.35
Village of Morrisville Water & Light Department,Energy,12925.4
Village of Northfield Electric Department,Energy,6839.21
Village of Orleans Electric Department,Energy,5610.23
"Village of Swanton, Inc Electric Department",Energy,15960.99
"VISA, Inc.",Bank/Finance,490150
Voices for Vermont's Children,Children & Youth,63092.35
VT Arts Council,Arts,4018
VTel Wireless,Telecommunications,31050
Waitsfield and Champlain Valley Telecom,Telecommunications,33958.71
Wal-Mart,Retail,69261.13
Washington County Mental Health,Health Care,1528.12
"Washington Electric Cooperative, Inc",Energy,49835.48
WCAX,Media/Journalism,24892
"Weidmann Electrical Technology, Inc.",Energy,0
Welch Foods Inc.,Retail,2795.4
Wells Fargo,Bank/Finance,99063.51
"Welltower, Inc.",Real Estate,3248
WestRock,Manufacturing,34915.83
Weyerhaeuser Company and Its Affilliates,Environment,29894.59
Windham Child Care Association,Children & Youth,0
Wine Institute,Alcohol,148000
Wireless Telecommunication Tax Simplification,Telecommunications,32703.76
Working Lands Coalition,Agriculture ,50620.04
Working Vermont,Labor Unions,148400
YMCA,Labor Unions,83134
